t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
1800.2,751000.0,88.2337543930605,733088.8324773156,729006.1611943839
1800.3,751000.0,88.25557138472551,733460.2803513047,729349.6743192065
1800.4,751000.0,88.26378263713505,733600.0820387756,729478.9622163288
1800.5,742000.0,88.28271165464217,733922.3603536633,729777.0035803046
1800.6,742000.0,88.12190205325331,731184.4767136977,727245.0225664822
1800.7,742000.0,88.24926466868413,733352.9045819321,729250.3737479816
1800.8,742000.0,88.17220737888164,732040.9562202159,728037.090504497
1800.9,740000.0,88.16818009174135,731972.3891478546,727973.6800209915
1801.0,740000.0,88.07768153769824,730431.5948892082,726548.761243527
1801.1,740000.0,88.11776149106146,731113.9810630186,727179.8285434525
1801.2,740000.0,88.11592156925728,731082.6552481235,727150.858587462
1801.3,740000.0,88.15294708410813,731713.037703499,727733.8331102498
1801.4,740000.0,88.13361648755523,731383.9222551931,727429.4687996919
1801.5,740000.0,88.3352127829576,734816.2247688046,730603.6448937014
1801.6,740000.0,88.39738512709194,735874.7476579454,731582.5615353286
1801.7,747000.0,88.44296436206454,736650.7625269324,732300.2161814347
1801.8,747000.0,88.36509985894251,735325.0708555977,731074.2231943682
1801.9,747000.0,88.38455166903856,735656.2500399856,731380.4960376704
1802.0,747000.0,88.40305099275497,735971.2125504087,731671.771782489
1802.1,758000.0,88.39036501281242,735755.2258391574,731472.0283587205
1802.2,758000.0,88.27649204768473,733816.4676707094,729679.0745599372
1802.3,758000.0,88.32361017822736,734618.683195431,730420.9594406306
1802.4,758000.0,88.33108769692399,734745.9926093605,730538.6945460401
1802.5,763000.0,88.33290833088647,734776.9900367353,730567.3608109043
1802.6,763000.0,88.32608719559313,734660.8559591409,730459.9606003058
1802.7,763000.0,88.398567399572,735894.8765834149,731601.1766643187
1802.8,765000.0,88.44999044988838,736770.3860490338,732410.843412755
1802.9,765000.0,88.45562812766289,736866.3710251355,732499.6098356792
1803.0,765000.0,88.34974144857908,735063.5843516407,730832.4017912503
1803.1,765000.0,88.25405896496642,733434.5304627442,729325.8609518337
1803.2,761000.0,88.17275125677453,732050.216080151,728045.6539763717
1803.3,761000.0,88.22576427793199,732952.7957898115,728880.3551502863
